ID,Original,Thubmnail,Width,Height
MCJB00022,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0001_l.jpg,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0001_s.png,2077,1385
MCJB00022,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0002_l.jpg,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0002_s.png,2077,1385
MCJB00022,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0003_l.jpg,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0003_s.png,2077,1385
MCJB00022,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0004_l.jpg,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0004_s.png,2077,1385
MCJB00022,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0005_l.jpg,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0005_s.png,2077,1385
MCJB00022,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0006_l.jpg,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0006_s.png,2077,1385
MCJB00022,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0007_l.jpg,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0007_s.png,2077,1385
MCJB00022,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0008_l.jpg,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0008_s.png,2077,1385
MCJB00022,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0009_l.jpg,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0009_s.png,2077,1385
MCJB00022,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0010_l.jpg,http://www.tbcas.jp/ja/lib/lib5/data/MCJB00022/files/assets/flash/pages/page0010_s.png,2077,1385
